country,year,tumor_deaths,digestive_deaths,tumor_rank
不丹,2000,296.26463185179176,322.0376838685995,8.0
东帝汶民主共和国,2000,363.9823535446606,289.3416809851358,5.0
中国,2000,2006520.049483858,297804.2204384147,2.0
中非共和国,2000,1549.2959009594715,1256.3214065604695,9.0
丹麦,2000,17210.18499025909,2918.2982423378558,2.0
乌克兰,2000,99274.26511387885,28870.214169794588,2.0
乌兹别克斯坦,2000,12361.773876458585,9533.780925016588,3.0
乌干达,2000,15733.042191660035,5528.2896285746265,8.0
乌拉圭,2000,8861.157179462236,1351.5036692452245,2.0
乍得,2000,3591.799855495854,3643.297417286369,10.0
也门,2000,5884.730548291735,3989.1947807032006,6.0
亚美尼亚,2000,4630.055397858815,1368.588799437676,2.0
以色列,2000,10433.589438368002,1445.4592792164037,2.0
伊拉克,2000,12181.034975829856,3291.466141289638,3.0
伊朗伊斯兰共和国,2000,41698.68863099793,9768.668904264268,2.0
伯利兹城,2000,159.07903058693265,57.23249658323722,2.0
佛得角,2000,298.5745577752852,105.07670572021946,2.0
俄罗斯,2000,310989.00526733015,68336.21562549169,2.0
保加利亚,2000,18043.302542422894,3101.4642429612986,2.0
克罗地亚,2000,12739.736765736741,2561.353321876587,2.0
关岛,2000,112.46356601551722,33.49298133859508,2.0
冈比亚,2000,290.6685071800839,402.6757045891076,11.0
冰岛,2000,523.8533597798554,50.657867903117946,2.0
几内亚,2000,4192.367163744124,3887.7565687429615,8.0
几内亚比绍,2000,398.06432659670554,530.0057377886335,11.0
刚果,2000,1399.2726567181662,1018.2542065966078,8.0
刚果民主共和国,2000,24079.751511722992,13339.079814663812,9.0
利比亚,2000,2647.2071424512037,948.200028054865,2.0
利比里亚,2000,1425.4587925466985,1201.8980844997818,9.0
加拿大,2000,68051.9141080417,8356.525249577226,2.0
加纳,2000,8116.236206013444,7494.491465815205,8.0
加蓬,2000,671.1903716205185,462.75751968978796,7.0
匈牙利,2000,34085.221215409154,9892.868977731636,2.0
北马其顿,2000,3522.530545426233,432.6406198973654,2.0
北马里亚纳群岛,2000,41.017601674478165,15.31045117078489,2.0
南苏丹,2000,4487.296647582395,2305.741806648893,9.0
南非,2000,34845.70973630708,10245.065375233635,4.0
博茨瓦纳,2000,942.4153878120937,605.9819103495709,4.0
卡塔尔,2000,179.64164041786418,72.75801514442409,2.0
卢旺达,2000,5483.356368040093,2805.8975858063827,10.0
卢森堡公国,2000,1069.1591739090395,195.8353825253939,2.0
印度,2000,458704.2871304399,383551.80797586817,7.0
印度尼西亚,2000,98292.9726387547,104042.58271327324,4.0
危地马拉,2000,6637.673497136992,4716.497750166078,4.0
厄瓜多尔,2000,11399.765372090793,4791.421871956205,2.0
厄立特里亚国,2000,2220.287543572339,1694.005409255612,9.0
古巴,2000,17607.219316713094,3027.646603964119,2.0
吉尔吉斯斯坦,2000,3308.2574268461326,1933.9525994027251,2.0
吉布提,2000,281.21318679763345,185.942913613988,7.0
哈萨克斯坦,2000,21216.96509349709,6007.195301241993,2.0
哥伦比亚,2000,29646.655504102386,6725.660745840616,3.0
哥斯达黎加,2000,3391.109084353036,989.3672478753834,2.0
喀麦隆,2000,6571.156912693882,5186.605995541291,8.0
图瓦卢,2000,11.468673757081605,3.9221361336110356,4.0
土库曼斯坦,2000,2223.240980811718,1418.9615562920844,3.0
土耳其,2000,61817.621264880356,10148.924599054908,2.0
圣卢西亚岛,2000,179.3813602376036,38.10692701769487,2.0
圣基茨和尼维斯联邦,2000,63.521669941755945,15.915952364694819,2.0
圣多美和普林西比民主共和国,2000,66.15823505163326,82.47531607046328,9.0
圣文森特和格林纳丁斯,2000,132.94168789997565,28.01082923306371,2.0
圣马力诺共和国,2000,66.02043979002418,6.905776347347663,2.0
圭亚那,2000,549.3327115023935,220.99831231702598,3.0
坦桑尼亚联合共和国,2000,18746.129189190004,9515.0704392799,8.0
埃及,2000,30416.67162596064,45331.607518278586,5.0
埃塞俄比亚,2000,41101.94781978056,30698.35579053443,8.0
基里巴斯,2000,35.26374356875587,30.70499699992749,7.0
塔吉克斯坦,2000,2882.5285156192685,1442.6804208771412,5.0
塞内加尔,2000,2964.4780423350285,3424.9435469811992,9.0
塞尔维亚,2000,24970.88529713458,4313.640929639225,2.0
塞拉利昂,2000,2256.798004793309,2694.8229876243217,8.0
塞浦路斯,2000,1676.570393470091,325.1584061373518,2.0
塞舌尔,2000,108.36245639526379,44.25301332796231,2.0
墨西哥,2000,62009.40393032507,43549.60213771283,3.0
多哥,2000,1507.9922594389654,1449.3594052331289,9.0
多米尼加共和国,2000,5243.98026934271,2274.294058393339,2.0
多米尼加岛,2000,112.40204976319603,19.862380703126142,2.0
大韩民国,2000,72013.80774219143,18324.228146135523,1.0
奥地利,2000,19781.8929149254,3402.8065189008694,2.0
委内瑞拉玻利瓦尔共和国,2000,16669.888581251817,4402.658711739181,2.0
孟加拉国,2000,63491.02689229873,48946.38289906358,6.0
安哥拉,2000,5953.911357646271,4618.463791064965,10.0
安提瓜和巴布达,2000,90.18287552568873,15.901870976118145,2.0
安道尔共和国,2000,142.20299637265083,21.443408645981584,1.0
密克罗尼西亚联邦,2000,86.73191214345397,45.57865799648354,3.0
尼加拉瓜,2000,2164.7177687876047,1146.182006903943,2.0
尼日利亚,2000,56252.449269385965,38301.817147999616,8.0
尼日尔,2000,3211.1843780109634,3990.2411555792623,12.0
尼泊尔,2000,8747.707150361008,10532.450525210526,8.0
巴勒斯坦,2000,1242.6788646490074,378.31884430156254,3.0
巴哈马,2000,337.37383850330457,84.07931919146681,2.0
巴基斯坦,2000,72115.39303261811,57629.039739117674,6.0
巴巴多斯,2000,484.88040579185304,81.62083807909343,2.0
巴布亚新几内亚,2000,2744.3237113380774,613.5998363281606,4.0
巴拉圭,2000,3567.9935806988206,1029.9749382678572,2.0
巴拿马,2000,2154.6345864788577,509.80658216769086,2.0
巴林岛,2000,315.21797760132745,126.85402277947199,2.0
巴西,2000,150754.3390148088,50030.038803708696,2.0
布基纳法索,2000,4805.247684445585,4326.153623745259,10.0
布隆迪,2000,2976.4442306553656,2099.293225841848,11.0
希腊,2000,29512.058829858277,2921.0884104538763,2.0
帕劳共和国,2000,25.244860842003376,4.801237155447879,2.0
库克群岛,2000,18.531782986049013,3.928346940674952,3.0
德国,2000,233167.87315235368,42460.416792733515,2.0
意大利,2000,170266.69766451378,25952.394961834474,2.0
所罗门群岛,2000,272.24421222782524,177.22653026708184,4.0
托克劳群岛,2000,1.4213196168529696,0.5527439267165535,3.0
拉脱维亚,2000,5975.301959309848,1024.544859877218,2.0
挪威,2000,11633.473321821224,1437.5951607455165,2.0
捷克共和国,2000,29528.32420537611,4241.136987209851,2.0
摩尔多瓦共和国,2000,5224.2929526103035,4163.530989298107,2.0
摩洛哥,2000,10741.900702497895,8157.074746332309,4.0
摩纳哥公国,2000,171.19560377538411,20.583205847719256,2.0
文莱达鲁萨兰国,2000,224.16984315837325,33.90357639443077,2.0
斐济,2000,488.25948419465044,128.3112280310721,3.0
斯威士兰,2000,581.0109118638096,315.60833907578944,6.0
斯洛伐克,2000,12316.99610437183,2607.9826888264074,2.0
斯洛文尼亚,2000,5206.2392621232075,1266.7794519729762,2.0
斯里兰卡,2000,11815.952211332613,6967.269766612926,2.0
新加坡,2000,4385.130250419297,357.9190290555505,2.0
新西兰,2000,7951.116607789742,686.4317869303809,2.0
日本,2000,327290.0492655565,40915.9491403768,1.0
智利,2000,20385.297718151487,5889.5929654087795,2.0
朝鲜民主主义人民共和国,2000,22589.2051314474,5166.26540656423,2.0
柬埔寨,2000,5002.07031713589,4928.592371344827,7.0
格林纳达,2000,144.17892028592763,31.83876828259538,2.0
格陵兰,2000,141.0525543902504,20.63074327739128,1.0
格鲁吉亚,2000,6707.559499120711,1865.8534982692915,2.0
比利时,2000,30034.43269740713,4992.197924342036,2.0
毛里塔尼亚,2000,1300.3794055467736,813.7873663614306,5.0
毛里求斯,2000,959.1873110235281,425.396394245963,3.0
汤加,2000,88.25932758231386,23.844642568227837,2.0
沙特阿拉伯,2000,7183.8785739124905,3296.007295609202,3.0
法国,2000,169945.5104263828,27300.80148557028,1.0
波兰,2000,97992.96464160555,16180.853818039734,2.0
波多黎各,2000,5586.288878477497,1620.5951457794465,2.0
波斯尼亚和黑塞哥维那,2000,7409.6312499866235,1300.5314054631613,2.0
泰国,2000,88059.53388468761,19759.772890153596,2.0
津巴布韦,2000,7490.587274543479,2882.7829358746494,5.0
洪都拉斯,2000,2403.5779937904294,2278.3573373114837,3.0
海地,2000,4990.262572274909,3398.12090408776,6.0
澳大利亚,2000,38107.28389589303,4174.528769046653,2.0
爱尔兰,2000,8237.734468584473,1003.5998029896192,2.0
爱沙尼亚,2000,3575.5235824322986,613.3246340350155,2.0
牙买加,2000,3194.8389179430096,460.5026467637055,2.0
特立尼达拉岛和多巴哥,2000,1456.2537667103281,358.30590627652333,3.0
玻利维亚国,2000,6274.608142003889,3744.859897408077,3.0
瑙鲁共和国,2000,8.046387554421718,3.7098913354085243,5.0
瑞典,2000,23678.928121981302,2938.126231922552,2.0
瑞士,2000,17252.296936304356,2489.9646176312554,2.0
瓦努阿图,2000,69.8359940401231,64.40115747931833,6.0
白俄罗斯,2000,17848.554957388464,3997.074573386304,2.0
百慕大,2000,136.18315319317378,17.493439573011386,2.0
科威特,2000,487.79104523697777,120.12806196109719,2.0
科摩罗,2000,195.31214944780058,157.4948046144407,6.0
科特廸亚,2000,5877.46286359983,4921.1844404122885,8.0
秘鲁,2000,18878.632314076192,8674.7149758223,1.0
突尼斯,2000,9732.779948911053,2864.192656958736,2.0
立陶宛,2000,7873.350548812554,1348.5965939273592,2.0
索马里,2000,3152.5289808611033,2656.3540224363046,9.0
约旦,2000,2269.398903198634,653.4425561675038,2.0
纳米比亚,2000,773.4365340700136,573.0904828489673,8.0
纽埃,2000,2.4001213851037733,0.8605105296658354,3.0
缅甸,2000,30178.535684470495,30201.838099017823,6.0
罗马尼亚,2000,42415.947856416424,14760.532641141328,2.0
美利坚合众国,2000,609833.4682877924,91638.56262585036,2.0
美属维尔京群岛,2000,156.5225894764249,35.34528121683789,2.0
美属萨摩亚群岛,2000,43.20256362500045,10.336883543747422,3.0
老挝人民民主共和国,2000,2296.784143709736,2019.987416836773,6.0
肯尼亚,2000,15674.523851052021,5094.552260233486,7.0
芬兰,2000,11140.042639590682,2069.882273942066,2.0
苏丹,2000,12085.144301230974,7074.396745055615,6.0
苏里南,2000,355.61727684941224,161.22616219576818,2.0
英国,2000,165322.19810557688,25602.055385171087,2.0
荷兰,2000,44366.629718479846,5441.147895677596,2.0
莫桑比克,2000,7978.274714805681,3609.034101979133,8.0
莱索托,2000,1254.7011282456613,662.4707020607952,6.0
菲律宾,2000,42193.07746379882,19240.54534178391,3.0
萨尔瓦多,2000,4247.424900653431,2100.195595002956,2.0
萨摩亚,2000,71.424176791709,44.46386644110169,5.0
葡萄牙,2000,26640.73432780355,4999.7847058143025,2.0
蒙古,2000,2950.78610251113,1024.1580871654492,2.0
西班牙,2000,103978.842333738,19475.707589069134,2.0
贝宁,2000,2202.646755657014,2406.5393206487543,12.0
赞比亚,2000,4891.287621555238,4284.530022798994,8.0
赤道几内亚,2000,309.4880275807661,169.10985447485862,9.0
越南,2000,49643.41175976906,22304.377857532214,2.0
阿塞拜疆,2000,6960.262553232712,3151.1399058863385,2.0
阿富汗,2000,5654.331735457665,2168.266391582844,9.0
阿尔及利亚,2000,10183.820624972017,6837.624014397827,3.0
阿尔巴尼亚,2000,2998.545321286664,423.3364180355022,2.0
阿拉伯叙利亚共和国,2000,5742.941661831427,2106.5215907432475,2.0
阿拉伯联合酋长国,2000,1213.8032685487624,259.83989117286,2.0
阿曼,2000,716.0541628669744,242.8882974526051,3.0
阿根廷,2000,68047.01847227867,11840.402719852136,2.0
马尔他,2000,777.0043924613227,97.40432905303844,2.0
马尔代夫,2000,101.90819745302792,44.508858193999195,4.0
马拉维,2000,7285.800220805501,3581.2386703596217,8.0
马来西亚,2000,15317.86375003204,6193.8164699099925,2.0
马绍尔群岛,2000,29.409742075634163,14.358372249439268,4.0
马达加斯加,2000,10921.829269438456,5311.6582316422655,6.0
马里,2000,5522.050024990537,4062.545265884733,8.0
黎巴嫩,2000,2246.5542656600587,892.1710546447067,2.0
黑山共和国,2000,1225.2095272357403,151.4006134493349,2.0
不丹,2001,307.986827287262,325.62953794040425,7.0
东帝汶民主共和国,2001,372.9095792494042,291.0807403058927,5.0
中国,2001,2032339.2115455405,299026.7603849046,2.0
中非共和国,2001,1555.3890571424747,1262.7015935590232,9.0
丹麦,2001,17272.166782348155,2933.584042184739,2.0
