country_cn,country_en,gdp_per_capita,health_expenditure,tumor_mortality_per_100k,tumor_total_deaths,population
刚果民主共和国,"Congo, Dem. Rep.",504.00419142286,3.508039,55.44882966241208,51538.26879014926,92947442.0
莫桑比克,Mozambique,519.09255091362,7.90207434,30.892922564658654,9232.158372328338,29884380.0
苏丹,Sudan,709.975280761719,4.59967566,42.53482401412429,19373.836077895357,45548175.0
埃塞俄比亚,Ethiopia,793.473247210264,3.24287128,69.55024426387558,80495.63258111721,115737383.0
乌干达,Uganda,822.171150036357,3.79341364,62.88373733495032,27039.77878606211,42999637.0
坦桑尼亚联合共和国,Tanzania,1063.32250976563,4.02347755,50.97379139069961,30163.68549401388,59174891.0
尼泊尔,Nepal,1203.14294706401,4.44524717,46.128514009852154,13106.985493008358,28414064.0
巴基斯坦,Pakistan,1390.41690981745,2.84736943,61.07949342511336,140972.01992980752,230800899.0
缅甸,Myanmar,1425.98954241668,3.814466,87.99332702979162,46320.31474090403,52640713.0
喀麦隆,Cameroon,1555.22660476477,3.65157914,54.640444380621794,13936.643652143555,25506095.0
肯尼亚,Kenya,1960.40808854893,4.36874676,55.33299020563625,28332.055248918874,51202827.0
印度,India,2041.42863698585,2.95299792,61.85715442914955,859214.6251615378,1389030312.0
孟加拉国,Bangladesh,2129.79896954606,2.12712646,74.67918083534991,123155.71856455004,164913055.0
加纳,Ghana,2186.65822682613,3.25450468,43.788990768716666,13687.976540448219,31258945.0
柬埔寨,Cambodia,2225.87705485686,5.05801058,55.9037541906092,9213.667675567041,16481304.0
安哥拉,Angola,2493.67884440177,2.20394278,43.792605739530266,14178.1328774412,32375632.0
委内瑞拉玻利瓦尔共和国,"Venezuela, RB",2523.11275230667,2.18563724,120.43842932006861,34852.59070630219,28938098.0
老挝人民民主共和国,Lao PDR,2589.32081035237,2.60312223,68.19764416478303,4935.897245222236,7237636.0
尼日利亚,Nigeria,3189.81286498516,2.98547053,42.424543076842454,88873.32600584453,209485641.0
菲律宾,Philippines,3400.78949767074,4.16646004,65.38689562181692,72451.74241729513,110804683.0
越南,Viet Nam,3440.90025375434,4.97407484,104.7108108505909,101751.44878373691,97173776.0
摩洛哥,Morocco,3508.09765625,5.020401,67.81056002227558,24554.81272289499,36210898.0
乌克兰,Ukraine,3619.86157226563,7.09389353,184.63525472709216,83007.31709712547,44957458.0
伊朗伊斯兰共和国,"Iran, Islamic Rep.",3997.4935449585,6.23426771,79.22622444790971,68967.7340300843,87051648.0
斯里兰卡,Sri Lanka,4081.94772722003,3.70119572,86.85026253820581,18935.962741205014,21803000.0
印度尼西亚,Indonesia,4106.94856160358,2.87862897,75.88397744625675,206775.78042148464,272489381.0
