country,country_code,year,gdp_per_capita,gni_per_capita,health_expenditure,population,mortality_rate
Afghanistan,AFG,2019,496.6025042585,520,14.83131981,37856121,86349
Africa Eastern and Southern,AFE,2019,1507.08559963484,1501.99695269359,5.7558901923726,675950189,1380363
Africa Western and Central,AFW,2019,2216.38505520833,1784.13716922547,3.25093608157437,463365429,1629838
Albania,ALB,2019,6069.43903131027,5900,6.78144073,2567801,298
Algeria,DZA,2019,4468.45341883656,4480,5.41732121,43294546,23654
American Samoa,ASM,2019,12886.1359517218,,,50209,
Andorra,AND,2019,41257.816459345,46450,7.32238626,76474,2
Angola,AGO,2019,2493.67884440177,2440,2.20394278,32375632,68526
Antigua and Barbuda,ATG,2019,18896.3721832248,18250,4.27709961,91364,11
Arab World,ARB,2019,6674.34224402621,6590.57416900269,4.94278733717573,444281315,387639
Argentina,ARG,2019,9955.97478680428,11210,10.11911297,44973465,6986
Armenia,ARM,2019,4597.22887399548,4650,11.3798008,2962500,443
Aruba,ABW,2019,30645.8906024548,29320,,109203,
Australia,AUS,2019,55194.7585097428,55090,10.25421429,25334826,1170
Austria,AUT,2019,49885.9947355204,50900,10.62530422,8879920,295
Azerbaijan,AZE,2019,4805.75371765917,4510,4.18188763,10024283,3643
"Bahamas, The",BHS,2019,33640.3369861278,31630,5.70484161,394675,110
Bahrain,BHR,2019,27259.7438599327,25800,3.78430986,1483756,158
Bangladesh,BGD,2019,2129.79896954606,2220,2.12712646,164913055,105777
Barbados,BRB,2019,21912.1501242857,20520,5.67476797,281207,37
Belarus,BLR,2019,6837.77339645635,6370,5.86133814,9419758,300
Belgium,BEL,2019,46716.6227467964,48070,10.85831451,11488980,462
Belize,BLZ,2019,6171.61449761423,5850,4.81608105,385829,104
Benin,BEN,2019,1130.82135339795,1170,3.00206876,12726755,39265
Bermuda,BMU,2019,115798.040775578,116920,,64107,
Bhutan,BTN,2019,3576.87987100503,3370,3.37511158,764824,225
Bolivia,BOL,2019,4203.15492855788,4170,6.88792992,11671386,5335
Bosnia and Herzegovina,BIH,2019,6122.37541352353,6180,8.92544365,3345533,196
Botswana,BWA,2019,7172.08956480028,7520,6.12193203,2332083,2373
Brazil,BRA,2019,9029.83304401079,9410,9.61449146,207455459,42875
Brunei Darussalam,BRN,2019,30426.5730656528,31550,2.23100758,442680,69
Bulgaria,BGR,2019,10353.7204584127,9920,7.11813641,6616726,419
Burkina Faso,BFA,2019,764.853077774946,760,5.35001135,20961952,64401
Burundi,BDI,2019,234.31061590725,250,9.05940628,12255336,25041
Cabo Verde,CPV,2019,4380.78117331128,4420,4.82431316,514104,108
Cambodia,KHM,2019,2225.87705485686,2100,5.05801058,16481304,8625
Cameroon,CMR,2019,1555.22660476477,1560,3.65157914,25506095,68800
Canada,CAN,2019,46352.8693445211,46580,11.04823494,37618495,1938
Caribbean small states,CSS,2019,13995.8548364074,13547.5001635225,6.08982716034103,4443134,1469
Cayman Islands,CYM,2019,88254.2902486867,64520,,67327,
Central African Republic,CAF,2019,449.228467602439,500,7.76081514,4944703,55737
Central Europe and the Baltics,CEB,2019,16534.9264870407,16115.8061400979,6.61921750835365,101864274,5026
Chad,TCD,2019,893.336441643325,920,3.38471627,16685223,80430
Channel Islands,CHI,2019,60564.6293993681,,,165639,
Chile,CHL,2019,14495.716721687,14690,9.30968475,19197744,1521
China,CHN,2019,10342.9009524335,10510,5.26516867,1407745000,125967
Colombia,COL,2019,6472.54544924705,6630,7.83404827,49907985,9486
Comoros,COM,2019,1510.23218151592,1530,5.18044472,786578,1064
"Congo, Dem. Rep.",COD,2019,504.00419142286,460,3.508039,92947442,348305
"Congo, Rep.",COG,2019,2488.42466724916,2180,2.34771276,5616661,9352
Costa Rica,CRI,2019,12884.6859951989,12240,7.2212491,4999553,600
Cote d'Ivoire,CIV,2019,2141.76836170115,2120,3.18916845,28193009,72390
Croatia,HRV,2019,15563.5987295029,15800,6.78699923,3949390,165
Cuba,CUB,2019,9232.26115935183,9010,11.08501148,11202846,774
Curacao,CUW,2019,19220.6865793075,19140,,157441,
Cyprus,CYP,2019,29227.173828125,28380,6.99843168,1286671,42
Czechia,CZE,2019,24062.7190013343,22440,7.48754358,10671870,340
Denmark,DNK,2019,59404.2663247723,63020,10.18468761,5814422,230
Djibouti,DJI,2019,2837.16902340932,2780,2.41347837,1088709,1363
Dominica,DMA,2019,9491.14995962374,9350,5.16903925,67880,26
Dominican Republic,DOM,2019,8183.01623600375,7940,4.36808872,10894043,7280
Early-demographic dividend,EAR,2019,3483.31545469615,3526.59410238723,4.60445519152089,3355014793,2311052
East Asia & Pacific,EAS,2019,11622.8915284736,11831.876376215,6.63218318246243,2359762190,410025
East Asia & Pacific (IDA & IBRD countries),TEA,2019,8379.36503263574,8469.13497211207,4.99321295377829,2086281644,398981
East Asia & Pacific (excluding high income),EAP,2019,8286.3981179292,8375.14344999575,4.99305007183394,2112289891,405117
Ecuador,ECU,2019,6205.05765246766,6100,7.80878448,17340021,4081
"Egypt, Arab Rep.",EGY,2019,2962.98892023003,2640,4.5994668,107553158,60930
El Salvador,SLV,2019,4320.11671534627,4130,8.80846119,6222318,1271
Equatorial Guinea,GNQ,2019,6804.14923073888,5130,3.27948833,1670177,4174
Estonia,EST,2019,24021.2501413306,23490,6.64763546,1326898,36
Eswatini,SWZ,2019,3913.14577547336,3680,8.40033817,1179874,1573
Ethiopia,ETH,2019,793.473247210264,790,3.24287128,115737383,200241
Euro area,EMU,2019,39220.5136743355,40351.7712342557,10.1571679207472,346496601,11759
Europe & Central Asia,ECS,2019,25020.8648271756,25510.8597923163,9.31021585100489,921932163,90103
Europe & Central Asia (IDA & IBRD countries),TEC,2019,9058.74177112172,8956.31106398099,5.55429623640193,461933206,73605
Europe & Central Asia (excluding high income),ECA,2019,6069.27407282315,6112.38166718514,4.96677430314955,248576676,60293
European Union,EUU,2019,35374.1403676934,36310.0785598431,9.87237183304095,446910453,16542
Faroe Islands,FRO,2019,63068.2872688483,66010,,51792,
Fiji,FJI,2019,5842.07344577597,5570,4.28229284,914899,462
Finland,FIN,2019,48358.1807773701,49590,9.22295189,5521606,113
Fragile and conflict affected situations,FCS,2019,1861.6533045303,1633.25826354584,4.15726885338508,973035228,2485470
France,FRA,2019,40408.2848574751,42720,11.17058277,67382061,3054
French Polynesia,PYF,2019,21582.5892046801,24530,,279034,
Gabon,GAB,2019,7441.1786472281,6870,2.76837039,2267706,2577
"Gambia, The",GMB,2019,738.186751987483,720,3.14534926,2456844,3918
Georgia,GEO,2019,4741.2832715876,4780,7.31291389,3720161,514
Germany,DEU,2019,47656.199739747,50350,11.42805386,83092962,2920
Ghana,GHA,2019,2186.65822682613,2170,3.25450468,31258945,38298
Greece,GRC,2019,19335.3602002969,19770,8.11709499,10721582,356
Greenland,GRL,2019,53309.2035905065,,,56225,
Grenada,GRD,2019,10462.7929159533,9400,4.93189621,115981,27
Guam,GUM,2019,39274.9431424899,,,161808,
Guatemala,GTM,2019,4511.99839552697,4490,6.17443275,17103803,9798
Guinea,GIN,2019,1031.34146480732,970,4.08876228,13034346,48028
Guinea-Bissau,GNB,2019,811.216425885129,850,7.14602089,1967696,4927
Guyana,GUY,2019,6405.82443444562,6380,4.90331507,807665,508
Haiti,HTI,2019,1352.17204191532,1410,3.91107917,11105163,16206
Heavily indebted poor countries (HIPC),HPC,2019,983.900062178744,975.049995195168,4.61341676982188,824649053,2024996
High income,,2019,8657.73234539015,8764.69332120081,5.64364694319073,2769964564,524012
Honduras,HND,2019,2502.32744328073,2330,7.34316635,9943633,4022
"Hong Kong SAR, China",HKG,2019,48359.0011950597,50480,,7507900,
Hungary,HUN,2019,17012.8598553199,16840,6.24677849,9694824,379
IBRD only,IBD,2019,6476.07259783679,6530.77992790231,5.40788171325868,4845075024,1648260
IDA & IBRD total,IBT,2019,5167.89523774326,5184.22309612988,5.26254670515947,6594216452,5370270
IDA blend,IDB,2019,2205.87361894796,1934.69269091803,3.21772869153518,614017319,1557100
IDA only,IDX,2019,1186.40559680864,1194.43828696943,3.89532699874333,1135124109,2164910
IDA total,IDA,2019,1544.27890067061,1454.29664788549,3.55083243059774,1749141428,3722010
Iceland,ISL,2019,69296.3144361601,74870,8.63996315,360563,12
India,IND,2019,2041.42863698585,2070,2.95299792,1389030312,847867
Indonesia,IDN,2019,4106.94856160358,4020,2.87862897,272489381,100826
"Iran, Islamic Rep.",IRN,2019,3997.4935449585,4710,6.23426771,87051648,18468
Iraq,IRQ,2019,5671.8568632942,5520,4.207232,41192171,28684
Ireland,IRL,2019,81827.6688873996,62460,6.61860561,4976456,208
Isle of Man,IMN,2019,87127.5517977404,84470,,83957,
Israel,ISR,2019,44250.6313628073,44280,7.20701885,9054000,627
Italy,ITA,2019,33812.788724868,35030,8.61536789,59729081,1333
Jamaica,JAM,2019,6030.68896415921,5930,6.96945572,2823271,649
Japan,JPN,2019,40415.9567649547,41970,10.96998405,126633000,2228
Jordan,JOR,2019,4170.1144003465,4190,7.07244635,10671891,3520
Kazakhstan,KAZ,2019,9457.12614657136,8500,2.87143755,19209555,4185
Kenya,KEN,2019,1960.40808854893,1880,4.36874676,51202827,61659
Kiribati,KIR,2019,1750.9977188915,3610,10.16600227,123921,201
"Korea, Rep.",KOR,2019,33826.9443301597,35790,7.69397116,51764822,1012
Kosovo,XKX,2019,4415.99923011071,4640,,1788891,251
Kuwait,KWT,2019,31707.8737443551,35680,5.18200397,4442316,486
Kyrgyz Republic,KGZ,2019,1421.99927504102,1240,4.25461817,6590211,3066
Lao PDR,LAO,2019,2589.32081035237,2520,2.60312223,7237636,6096
Late-demographic dividend,LTE,2019,10120.3125161359,10151.2834939382,5.71657356222011,2308878047,281170
Latin America & Caribbean,LCN,2019,8539.39776066424,8568.19546653054,7.8656829114729,640962372,170420
Latin America & Caribbean (excluding high income),LAC,2019,8282.78290882792,8394.09604744509,7.87393671222829,573311679,153635
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,8362.63429845968,8456.50032672419,7.80750973958778,625467307,169529
Latvia,LVA,2019,17294.9751600969,17010,6.86276913,1913822,76
Least developed countries: UN classification,LDC,2019,1105.24693378698,1114.9073044534,3.64897753566729,1058013514,2166019
Lebanon,LBN,2019,8905.88005497437,8630,8.68533897,5794594,1546
Lesotho,LSO,2019,1082.05706777516,1290,21.92373085,2209405,3991
Liberia,LBR,2019,658.164180770507,600,8.38325977,5043721,14321
Libya,LBY,2019,9963.19489084483,10100,5.54773426,6951033,1570
Liechtenstein,LIE,2019,166907.839305016,,5.78483772,38563,
Lithuania,LTU,2019,19608.7943945553,19200,6.94472647,2811089,112
Low & middle income,LMY,2019,4943.24879858439,4971.12853168189,5.18718393271332,6243562839,5149246
Luxembourg,LUX,2019,112696.649059674,79280,5.46640301,620001,15
"Macao SAR, China",MAC,2019,81882.6964523869,71690,,672000,
Madagascar,MDG,2019,499.818837622534,500,3.10129309,28219554,59427
Malawi,MWI,2019,580.889139762475,540,6.37021732,19025752,31489
Malaysia,MYS,2019,10920.191763972,10750,3.83991051,33440596,3972
Maldives,MDV,2019,11740.2724029785,10730,7.50238085,487731,47
Mali,MLI,2019,971.949318638092,960,3.82943797,21068405,78207
Malta,MLT,2019,32421.9179752262,29830,8.89282227,503912,26
Marshall Islands,MHL,2019,5292.33985502306,6770,14.98994541,44007,34
Mauritania,MRT,2019,1767.072710621,1720,3.09176588,4467708,6856
Mauritius,MUS,2019,11568.2533399824,12700,5.69508171,1265985,206
Mexico,MEX,2019,10369.5553585271,9860,5.3013463,125762982,31760
"Micronesia, Fed. Sts.",FSM,2019,3572.65918282222,4050,11.87363148,110282,67
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2019,5412.42875673528,5483.88471464394,5.18839795113514,742714463,752837
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2019,2688.96932958269,2764.6585640229,5.01452087139383,675805691,743307
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2019,2695.63342343005,2774.5094047982,5.05395226217455,680490997,745621
Middle income,MIC,2019,5353.79775844374,5385.2202459953,5.18734145793423,5698581856,3688460
Moldova,MDA,2019,4405.33418162155,4490,6.49662447,2664224,637
Monaco,MCO,2019,193746.785647412,,3.87993813,38109,1
Mongolia,MNG,2019,4347.54610314873,3800,4.49497986,3267673,1176
Montenegro,MNE,2019,8749.02375172644,8970,8.32983208,626753,23
Morocco,MAR,2019,3508.09765625,3510,5.020401,36210898,12626
Mozambique,MOZ,2019,519.09255091362,500,7.90207434,29884380,77671
Myanmar,MMR,2019,1425.98954241668,1380,3.814466,52640713,40771
Namibia,NAM,2019,4731.9210318831,4870,8.85805798,2650494,3467
Nauru,NRU,2019,10801.7705659635,15840,11.56155682,11587,4
Nepal,NPL,2019,1203.14294706401,1240,4.44524717,28414064,18296
Netherlands,NLD,2019,53554.9007491475,52940,9.93616295,17344874,688
New Caledonia,NCL,2019,33411.3358835672,35130,,283606,
New Zealand,NZL,2019,42855.831861632,43130,8.61898708,4970300,303
Nicaragua,NIC,2019,1958.62051528095,1930,8.50037098,6483657,1931
Niger,NER,2019,561.691304349698,610,5.66642094,22947757,116318
Nigeria,NGA,2019,3189.81286498516,2260,2.98547053,209485641,853891
North America,NAC,2019,62874.6117089583,63917.7150940239,16.1303860806677,367908829,26684
North Macedonia,MKD,2019,6718.85826635458,6520,7.06654119,1876262,156
Northern Mariana Islands,MNP,2019,24496.6652122421,,,48129,
Norway,NOR,2019,76430.5889473338,82430,10.43807507,5347896,133
OECD members,OED,2019,39708.8864576635,40558.3589704264,12.4132360179931,1364146219,108617
Oman,OMN,2019,19180.1864152801,17860,3.80648994,4591241,946
Other small states,OSS,2019,12907.6162560274,12992.0841338095,6.71478450487196,12281907,6639
Pacific island small states,PSS,2019,4136.34140894161,4265.85330660575,5.4466335838218,2568656,1563
Pakistan,PAK,2019,1390.41690981745,1520,2.84736943,230800899,435191
Palau,PLW,2019,15846.7968470167,16200,12.17405796,17798,5
Panama,PAN,2019,16477.9066268111,15640,8.13541794,4234700,1208
Papua New Guinea,PNG,2019,2575.77274140393,2420,2.3253386,9609010,11597
Paraguay,PRY,2019,5821.18199548738,5950,7.16081905,6515058,2685
Peru,PER,2019,7037.00803692604,6850,5.12525272,32449303,8082
Philippines,PHL,2019,3400.78949767074,3760,4.16646004,110804683,59038
Poland,POL,2019,15874.5220531254,15510,6.38906956,37965475,1730
Portugal,PRT,2019,23343.3628970034,23250,9.50868607,10286263,295
Post-demographic dividend,PST,2019,45840.3536114764,46932.5010235189,12.8480081595041,1114898817,52289
Pre-demographic dividend,PRE,2019,1681.19065754666,1460.61888982429,3.74037691727793,972302503,2789951
Puerto Rico (US),PRI,2019,31830.5284993358,21310,,3302691,
Qatar,QAT,2019,66841.3623185691,65700,3.18468714,2638657,180
Romania,ROU,2019,12909.6104013244,12660,5.69924641,19371648,1383
